Dyke,Craton,Trend,Lat (N),Long (E) ,Age,Error,Method,Author,Journal,Volume,Year,Page,doi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MB87,Dharwar,62,16.474,77.736,2366.3,1.1,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
DG16,Dharwar,68,15.564,77.805,2369.2,0.8,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
TP8,Dharwar,75,14.197,77.81,2368.1,0.6,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
DH05,Dharwar,87,13.651,78.42,2366.4,0.8,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
IB115,Dharwar,97,17.047,78.723,2207.2,0.7,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
IB99,Dharwar,100,17.201,78.612,1887.3,1,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
MSG10,Dharwar,74,16.966,80.047,1861.8,1.4,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
PV73,Dharwar,Sill,14.773,78.173,1864.3,0.6,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
PV63,Dharwar,Sill,14.501,78.474,1863.6,0.9,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
PV73,Dharwar,Sill,14.418,78.229,1880.6,1,Pb-Pb,Sarma et al,GF,11,2020,2127-2139,https://doi.org/10.1016/j.gsf.2020.05.014,,,,,,,,
SD4,Bastar,335,21.443,82.598,1851.1,2.6,Pb-Pb,Shellnutt et al.,Lithos,334-335,2019,88-101,https://doi.org/10.1016/j.lithos.2019.03.015,,,,,,,,
JEF-00-36,Bastar,330,18.974,81.564,1883,1.4,U-Pb,French et al,PreCam,160,2008,308-322,https://doi.org/10.1016/j.precamres.2007.08.005,,,,,,,,
JEF-00-30,Bastar,330,18.819,81.331,1891.1,0.9,U-Pb,French et al,PreCam,160,2008,308-322,https://doi.org/10.1016/j.precamres.2007.08.005,,,,,,,,
JEF-99-9,Dharwar,Sill,14.431,78.214,1885.4,3.1,U-Pb,French et al,PreCam,160,2008,308-322,https://doi.org/10.1016/j.precamres.2007.08.005,,,,,,,,
